# Timestep	Num_Clusters	Max_Cluster_Size
1435	9	3424
1436	7	3426
1437	9	3422
1438	9	3424
1439	6	3426
1440	9	3424
1441	11	3417
1442	13	3420
1443	8	3423
1444	9	3424
1445	11	3422
1446	10	3423
1447	11	3422
1448	10	3423
1449	10	3423
1450	16	3417
1451	9	3423
1452	12	3415
1453	11	3422
1454	6	3425
1455	10	3423
1456	7	3426
1457	13	3419
1458	13	3420
1459	7	3426
1460	8	3425
1461	13	3420
1462	12	3415
1463	12	3421
1464	16	3417
1465	13	3420
1466	12	3421
1467	7	3426
1468	8	3425
1469	12	3421
1470	11	3422
1471	10	3423
1472	12	3416
1473	7	3425
1474	11	3422
1475	8	3425
1476	15	3418
1477	7	3426
1478	12	3421
1479	13	3419
1480	13	3418
1481	14	3419
1482	19	3412
1483	9	3424
1484	16	3417
1485	9	3423
1486	14	3414
1487	12	3421
1488	13	3420
1489	7	3426
1490	9	3423
1491	14	3418
1492	10	3421
1493	12	3420
1494	10	3423
1495	8	3425
1496	9	3424
1497	11	3422
1498	12	3421
1499	9	3424
1500	11	3421
1501	9	3424
1502	9	3423
1503	12	3421
1504	16	3416
1505	9	3424
1506	12	3421
1507	9	3424
1508	10	3418
1509	12	3421
1510	9	3424
1511	8	3423
1512	9	3424
1513	10	3423
1514	9	3424
1515	14	3413
1516	9	3421
1517	10	3423
1518	8	3425
1519	10	3423
1520	10	3423
1521	7	3426
1522	11	3422
1523	11	3421
1524	13	3415
1525	10	3423
1526	11	3422
1527	6	3427
1528	12	3421
1529	8	3424
1530	11	3422
1531	7	3426
1532	10	3423
1533	13	3420
1534	14	3418
1535	19	3412
1536	9	3424
1537	13	3420
1538	10	3423
1539	12	3420
1540	6	3427
1541	11	3421
1542	16	3417
1543	9	3418
1544	8	3425
1545	11	3420
1546	7	3426
1547	10	3412
1548	10	3423
1549	10	3423
1550	12	3420
1551	8	3425
1552	7	3426
1553	7	3426
1554	13	3419
1555	13	3420
1556	9	3423
1557	9	3424
1558	12	3421
1559	13	3420
1560	11	3422
1561	12	3421
1562	14	3419
